2023-01-25; 12:38:36.454; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99961116993849% complete 
2023-01-25; 12:38:36.866; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:37.717; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99961080823752% complete 
2023-01-25; 12:38:38.014; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:42.998; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:44.098; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:46.193; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:46.959; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99960755292886% complete 
2023-01-25; 12:38:48.051; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:52.296; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:38:54.270; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99960465932135% complete 
2023-01-25; 12:38:55.550; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99960429762042% complete 
2023-01-25; 12:38:56.092; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
2023-01-25; 12:38:58.775; [info]; bitcoin; https://btc.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - 0/15 blocks behind, 99.99960321251766% complete 
2023-01-25; 12:38:59.399; [info]; ethereum; https://eth.getblock.io/2e50183d-4f7d-4bd4-809b-17a61b87fd11/mainnet/; Available - Fully synchronized 
2023-01-25; 12:39:05.130; [info]; ethereum; https://eth.llamarpc.com; Available - Fully synchronized 
